,date,state,fips,cases,deaths,epoch_ms
185,2020-02-24,ARIZONA,4,1,0,1582531200000
186,2020-02-24,CALIFORNIA,6,11,0,1582531200000
187,2020-02-24,ILLINOIS,17,2,0,1582531200000
188,2020-02-24,MASSACHUSETTS,25,1,0,1582531200000
189,2020-02-24,NEBRASKA,31,12,0,1582531200000
190,2020-02-24,TEXAS,48,10,0,1582531200000
191,2020-02-24,WASHINGTON,53,5,0,1582531200000
192,2020-02-24,WISCONSIN,55,1,0,1582531200000
193,2020-02-25,ARIZONA,4,1,0,1582617600000
194,2020-02-25,CALIFORNIA,6,11,0,1582617600000
195,2020-02-25,ILLINOIS,17,2,0,1582617600000
196,2020-02-25,MASSACHUSETTS,25,1,0,1582617600000
197,2020-02-25,NEBRASKA,31,13,0,1582617600000
198,2020-02-25,TEXAS,48,10,0,1582617600000
199,2020-02-25,UTAH,49,1,0,1582617600000
200,2020-02-25,WASHINGTON,53,5,0,1582617600000
201,2020-02-25,WISCONSIN,55,1,0,1582617600000
202,2020-02-26,ARIZONA,4,1,0,1582704000000
203,2020-02-26,CALIFORNIA,6,26,0,1582704000000
204,2020-02-26,ILLINOIS,17,2,0,1582704000000
205,2020-02-26,MASSACHUSETTS,25,1,0,1582704000000
206,2020-02-26,NEBRASKA,31,13,0,1582704000000
207,2020-02-26,TEXAS,48,10,0,1582704000000
208,2020-02-26,UTAH,49,1,0,1582704000000
209,2020-02-26,WASHINGTON,53,5,0,1582704000000
210,2020-02-26,WISCONSIN,55,1,0,1582704000000
211,2020-02-27,ARIZONA,4,1,0,1582790400000
212,2020-02-27,CALIFORNIA,6,26,0,1582790400000
213,2020-02-27,ILLINOIS,17,2,0,1582790400000
214,2020-02-27,MASSACHUSETTS,25,1,0,1582790400000
215,2020-02-27,NEBRASKA,31,13,0,1582790400000
216,2020-02-27,TEXAS,48,10,0,1582790400000
217,2020-02-27,UTAH,49,1,0,1582790400000
218,2020-02-27,WASHINGTON,53,5,0,1582790400000
219,2020-02-27,WISCONSIN,55,1,0,1582790400000
220,2020-02-28,ARIZONA,4,1,0,1582876800000
221,2020-02-28,CALIFORNIA,6,27,0,1582876800000
222,2020-02-28,ILLINOIS,17,2,0,1582876800000
223,2020-02-28,MASSACHUSETTS,25,1,0,1582876800000
224,2020-02-28,NEBRASKA,31,13,0,1582876800000
225,2020-02-28,OREGON,41,1,0,1582876800000
226,2020-02-28,TEXAS,48,11,0,1582876800000
227,2020-02-28,UTAH,49,1,0,1582876800000
228,2020-02-28,WASHINGTON,53,7,0,1582876800000
229,2020-02-28,WISCONSIN,55,1,0,1582876800000
230,2020-02-29,ARIZONA,4,1,0,1582963200000
231,2020-02-29,CALIFORNIA,6,28,0,1582963200000
232,2020-02-29,ILLINOIS,17,3,0,1582963200000
233,2020-02-29,MASSACHUSETTS,25,1,0,1582963200000
234,2020-02-29,NEBRASKA,31,13,0,1582963200000
