County Formatted,County,State Formatted,State,Population
Washington,WASHINGTON,Arkansas,ARKANSAS,239187
White,WHITE,Arkansas,ARKANSAS,78753
Woodruff,WOODRUFF,Arkansas,ARKANSAS,6320
Yell,YELL,Arkansas,ARKANSAS,21341
Alameda,ALAMEDA,California,CALIFORNIA,1671329
Alpine,ALPINE,California,CALIFORNIA,1129
Amador,AMADOR,California,CALIFORNIA,39752
Butte,BUTTE,California,CALIFORNIA,219186
Calaveras,CALAVERAS,California,CALIFORNIA,45905
Colusa,COLUSA,California,CALIFORNIA,21547
Contra Costa,CONTRACOSTA,California,CALIFORNIA,1153526
Del Norte,DELNORTE,California,CALIFORNIA,27812
El Dorado,ELDORADO,California,CALIFORNIA,192843
Fresno,FRESNO,California,CALIFORNIA,999101
Glenn,GLENN,California,CALIFORNIA,28393
Humboldt,HUMBOLDT,California,CALIFORNIA,135558
Imperial,IMPERIAL,California,CALIFORNIA,181215
Inyo,INYO,California,CALIFORNIA,18039
Kern,KERN,California,CALIFORNIA,900202
Kings,KINGS,California,CALIFORNIA,152940
Lake,LAKE,California,CALIFORNIA,64386
Lassen,LASSEN,California,CALIFORNIA,30573
Los Angeles,LOSANGELES,California,CALIFORNIA,10039107
Madera,MADERA,California,CALIFORNIA,157327
Marin,MARIN,California,CALIFORNIA,258826
Mariposa,MARIPOSA,California,CALIFORNIA,17203
Mendocino,MENDOCINO,California,CALIFORNIA,86749
Merced,MERCED,California,CALIFORNIA,277680
Modoc,MODOC,California,CALIFORNIA,8841
Mono,MONO,California,CALIFORNIA,14444
Monterey,MONTEREY,California,CALIFORNIA,434061
Napa,NAPA,California,CALIFORNIA,137744
Nevada,NEVADA,California,CALIFORNIA,99755
Orange,ORANGE,California,CALIFORNIA,3175692
Placer,PLACER,California,CALIFORNIA,398329
Plumas,PLUMAS,California,CALIFORNIA,18807
Riverside,RIVERSIDE,California,CALIFORNIA,2470546
Sacramento,SACRAMENTO,California,CALIFORNIA,1552058
San Benito,SANBENITO,California,CALIFORNIA,62808
San Bernardino,SANBERNARDINO,California,CALIFORNIA,2180085
San Diego,SANDIEGO,California,CALIFORNIA,3338330
San Francisco,SANFRANCISCO,California,CALIFORNIA,881549
San Joaquin,SANJOAQUIN,California,CALIFORNIA,762148
San Luis Obispo,SANLUISOBISPO,California,CALIFORNIA,283111
San Mateo,SANMATEO,California,CALIFORNIA,766573
Santa Barbara,SANTABARBARA,California,CALIFORNIA,446499
Santa Clara,SANTACLARA,California,CALIFORNIA,1927852
Santa Cruz,SANTACRUZ,California,CALIFORNIA,273213
Shasta,SHASTA,California,CALIFORNIA,180080
Sierra,SIERRA,California,CALIFORNIA,3005
Siskiyou,SISKIYOU,California,CALIFORNIA,43539
Solano,SOLANO,California,CALIFORNIA,447643
Sonoma,SONOMA,California,CALIFORNIA,494336
Stanislaus,STANISLAUS,California,CALIFORNIA,550660
Sutter,SUTTER,California,CALIFORNIA,96971
Tehama,TEHAMA,California,CALIFORNIA,65084
Trinity,TRINITY,California,CALIFORNIA,12285
Tulare,TULARE,California,CALIFORNIA,466195
Tuolumne,TUOLUMNE,California,CALIFORNIA,54478
Ventura,VENTURA,California,CALIFORNIA,846006
Yolo,YOLO,California,CALIFORNIA,220500
Yuba,YUBA,California,CALIFORNIA,78668
Adams,ADAMS,Colorado,COLORADO,517421
Alamosa,ALAMOSA,Colorado,COLORADO,16233
Arapahoe,ARAPAHOE,Colorado,COLORADO,656590
Archuleta,ARCHULETA,Colorado,COLORADO,14029
Baca,BACA,Colorado,COLORADO,3581
Bent,BENT,Colorado,COLORADO,5577
Boulder,BOULDER,Colorado,COLORADO,326196
Broomfield,BROOMFIELD,Colorado,COLORADO,70465
Chaffee,CHAFFEE,Colorado,COLORADO,20356
Cheyenne,CHEYENNE,Colorado,COLORADO,1831
Clear Creek,CLEARCREEK,Colorado,COLORADO,9700
Conejos,CONEJOS,Colorado,COLORADO,8205
Costilla,COSTILLA,Colorado,COLORADO,3887
Crowley,CROWLEY,Colorado,COLORADO,6061
Custer,CUSTER,Colorado,COLORADO,5068
Delta,DELTA,Colorado,COLORADO,31162
Denver,DENVER,Colorado,COLORADO,727211
Dolores,DOLORES,Colorado,COLORADO,2055
Douglas,DOUGLAS,Colorado,COLORADO,351154
Eagle,EAGLE,Colorado,COLORADO,55127
Elbert,ELBERT,Colorado,COLORADO,26729
El Paso,ELPASO,Colorado,COLORADO,720403
Fremont,FREMONT,Colorado,COLORADO,47839
Garfield,GARFIELD,Colorado,COLORADO,60061
Gilpin,GILPIN,Colorado,COLORADO,6243
Grand,GRAND,Colorado,COLORADO,15734
Gunnison,GUNNISON,Colorado,COLORADO,17462
Hinsdale,HINSDALE,Colorado,COLORADO,820
Huerfano,HUERFANO,Colorado,COLORADO,6897
Jackson,JACKSON,Colorado,COLORADO,1392
Jefferson,JEFFERSON,Colorado,COLORADO,582881
Kiowa,KIOWA,Colorado,COLORADO,1406
Kit Carson,KITCARSON,Colorado,COLORADO,7097
Lake,LAKE,Colorado,COLORADO,8127
La Plata,LAPLATA,Colorado,COLORADO,56221
Larimer,LARIMER,Colorado,COLORADO,356899
Las Animas,LASANIMAS,Colorado,COLORADO,14506
Lincoln,LINCOLN,Colorado,COLORADO,5701
Logan,LOGAN,Colorado,COLORADO,22409
Mesa,MESA,Colorado,COLORADO,154210
Mineral,MINERAL,Colorado,COLORADO,769
Moffat,MOFFAT,Colorado,COLORADO,13283
Montezuma,MONTEZUMA,Colorado,COLORADO,26183
Montrose,MONTROSE,Colorado,COLORADO,42758
Morgan,MORGAN,Colorado,COLORADO,29068
Otero,OTERO,Colorado,COLORADO,18278
Ouray,OURAY,Colorado,COLORADO,4952
Park,PARK,Colorado,COLORADO,18845
Phillips,PHILLIPS,Colorado,COLORADO,4265
Pitkin,PITKIN,Colorado,COLORADO,17767
Prowers,PROWERS,Colorado,COLORADO,12172
Pueblo,PUEBLO,Colorado,COLORADO,168424
